% % New table Cars_Marketplace with column(s) Vendor Model Miles Price created
% % Added 7 rows to Cars_Marketplace from position 0 to 6
% New table profcars with column(s) name vendor color created
% Added 4 rows to profcars from position 0 to 3
% Model name color 
Corvette Paoletti Blue 
Malibu Paoletti Blue 
Malibu Paoletti Blue 
Corvette Paoletti Blue 
Mustang Kamil Gray 
Mustang Garcia Red 
Malibu Paoletti Blue 
Fusion Kamil Gray 
Fusion Garcia Red 
Printed 9 rows from joining Cars_Marketplace to profcars
% Thanks for being silly!
